name,tau,TN,FP,FN,TP,accuracy,precision,recall,f1,FPR,TPR,TNR,FNR
τ_Youden (balanced),-0.167,379,225,10,84,0.663,0.272,0.894,0.417,0.373,0.894,0.627,0.106
τ=0 (default),0.0,463,141,28,66,0.758,0.319,0.702,0.439,0.233,0.702,0.767,0.298
τ=0.100,0.1,497,107,33,61,0.799,0.363,0.649,0.466,0.177,0.649,0.823,0.351
τ=0.200,0.2,530,74,36,58,0.842,0.439,0.617,0.513,0.123,0.617,0.877,0.383
τ=0.300,0.3,548,56,39,55,0.864,0.495,0.585,0.537,0.093,0.585,0.907,0.415
τ=0.400,0.4,569,35,48,46,0.881,0.568,0.489,0.526,0.058,0.489,0.942,0.511
FPR≤5%,0.412,574,30,48,46,0.888,0.605,0.489,0.541,0.05,0.489,0.95,0.511
FPR≤2%,0.486,592,12,62,32,0.894,0.727,0.34,0.464,0.02,0.34,0.98,0.66
FPR≤1%,0.564,599,5,77,17,0.883,0.773,0.181,0.293,0.008,0.181,0.992,0.819
